"Subsystem"|"Scenario"|"Name (what-if...)"|"Type"|"Severity with existing safeguards in place"|"Likelihood of this severity with existing safeguards in place"|"Risk Ranking"|"Possible Causes"|"Possible Consequences"|"Existing Safeguards"|"Recommended Actions"
"D1. Air-cooling equipment, including defrosting"|"10"|"More ammonia refrigerant evaporates than suction piping can remove, including during pump down before defrost."|"Prior incident anywhere"|"Nuisance on-site"|"5% to 20% per year (every 5 to 20 years or so)"|"03. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Control valve allows too little or no flow, including expansion, gas-powered, motorized, and solenoid valves and regulators.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Filter or strainer clogged.
(4) Inspection, testing, or maintenance (ITM) shortcoming or error.
(5) Loads added without properly evaluating.
(6) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth."|"(1) Hinders maintenance or increases the need for repairs.
(2) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(3) Hinders safety, security, health, or environmental protection.
(4) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(5) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(6) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(7) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(8) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(9) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(10) Leak of ammonia that will probably cause strong odors or worse offsite.
(11) Shocks that could damage equipment, piping, or supports."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Air-cooling equipment and piping are adequately built, controlled, located, inspected, tested, and maintained.
(3) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(4) Change management is adequate.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Defrost, hot gas, is built and controlled adequately to handle a reasonable range of circumstances. [OK?]
(7) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(8) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(9) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(10) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(11) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(12) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(13) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(14) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(15) Production monitoring and quality control.
(16) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(17) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(18) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(19) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(20) Separation of ammonia refrigeration from people is adequate and considered in change management.
(21) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"D1. Air-cooling equipment, including defrosting"|"11"|"Water or similar sprayed on coil, for cleaning or defrost, while it contains liquid ammonia, during cooling or before pump down."|"Prior incident anywhere and human factors"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Control valve allows too little or no flow, including expansion, gas-powered, motorized, and solenoid valves and regulators.
(2) Control valve allows too much flow or remains fully open -- but not including shocks from expansion valves too far open.
(3) Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small.
(4) Defrost, using water, time for pump down is either inadequate normally or unsafely reduced. [OK?]
(5) Design, fabrication, construction, or installation shortcoming or error.
(6) Filter or strainer clogged.
(7) Human error or poor judgment.
(8) Inspection, testing, or maintenance (ITM) shortcoming or error.
(9) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth.
(10) Procedure is confusing, ignored, misunderstood, or wrong.
(11) Spring problem.
(12) Temperature or humidity changes within or moderately outside of typically expected ranges.
(13) Valve-seat seal failure (seat-gasket degraded, debris on seat, not tight enough, etc.)"|"(1) Hinders maintenance or increases the need for repairs.
(2) Hinders safety, security, health, or environmental protection.
(3) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(4) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(5) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(6) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(7) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(8) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(9) Leak of ammonia into water or other liquids that may cause odors or flow into floor drains or similar.
(10) Leak of ammonia that will probably cause strong odors or worse offsite.
(11) Overpressure in equipment or piping.
(12) Shocks that could damage equipment, piping, or supports."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Air-cooling equipment and piping are adequately built, controlled, located, inspected, tested, and maintained.
(3) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(4) Change management is adequate.
(5) Cleaning on or near the ammonia-refrigeration system is adequately safe, including clean-in-place.
(6) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(7) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(8) Defrost, water, is built and controlled adequately to handle a reasonable range of circumstances. [OK?]
(9) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(10) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(11) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(12) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(13) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(14) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(15) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(16) Metal-fatigue prevention is adequate to avoid all but small leaks.
(17) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(18) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(19) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(20) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(21) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(22) Separation of ammonia refrigeration from people is adequate and considered in change management.
(23) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"D2. Liquid chillers or heaters such as ice builders, film, plate, scraped surface, tube-in-shell... for brine, glycol, water..."|"1"|"Ammonia leaks across a heat exchanger into piping (for brine, glycol, water...) that cannot handle the resulting pressure."|"Prior incident anywhere"|"Room evacuation or off-site nuisance"|"2% to 5% per year (every 20 to 50 years or so)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Inspection, testing, or maintenance (ITM) shortcoming or error."|"(1) Explosion or fire more likely.
(2) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(3) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(4) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(5) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(6) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(7) Leak of ammonia into water or other liquids that may cause odors or flow into floor drains or similar.
(8) Overpressure in equipment or piping.
(9) Severity increases, such as injuries or fatalities more likely due to leak, fire, explosion, weak condition, or unusual load.
(10) Shocks that could damage equipment, piping, or supports."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(5) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(6) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(7) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(8) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(9) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Metal-fatigue prevention is adequate to avoid all but small leaks.
(12) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(13) Piping systems that ammonia refrigerant could leak into have adequate means to relieve any resulting overpressure.
(14) Production monitoring and quality control.
(15) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(16) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(17) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(18) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(19) Separation of ammonia refrigeration from people is adequate and considered in change management.
(20) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"D2. Liquid chillers or heaters such as ice builders, film, plate, scraped surface, tube-in-shell... for brine, glycol, water..."|"2"|"Chilled liquid freezes because evaporating temperature is too low or its freezing point is too high."|"Prior incident anywhere"|"Room evacuation or off-site nuisance"|"2% to 5% per year (every 20 to 50 years or so)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Control valve allows too much flow or remains fully open -- but not including shocks from expansion valves too far open.
(2) Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small.
(3) Human error or poor judgment.
(4) Spring problem.
(5) Wrong substance or concentration added or used."|"(1) Explosion or fire more likely.
(2) Hinders maintenance or increases the need for repairs.
(3) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(4) Hinders safety, security, health, or environmental protection.
(5) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(6) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(7) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(8) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(9) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(10) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(11) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(12) Leak of ammonia into water or other liquids that may cause odors or flow into floor drains or similar.
(13) Leak of ammonia that will probably cause strong odors or worse offsite.
(14) Water contamination in the ammonia refrigerant becomes too high."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(4) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(5) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(6) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(7) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(8) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(9) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(12) Production monitoring and quality control.
(13) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(14) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(15) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(16) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(17) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(18) Separation of ammonia refrigeration from people is adequate and considered in change management.
(19) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"D2. Liquid chillers or heaters such as ice builders, film, plate, scraped surface, tube-in-shell... for brine, glycol, water..."|"3"|"Corrosive liquid, like water or brine, flows in or splashes on carbon steel, such as piping above the normal liquid level."|"Prior incident anywhere"|"Little or none"|"Very unlikely (less than every 50 years)"|"00. No action needed."|"(1) Design, fabrication, construction, or installation shortcoming or error."|"(1) Hinders maintenance or increases the need for repairs.
(2) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(3) Hinders safety, security, health, or environmental protection."|"(1) Change management is adequate.
(2) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(3) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(4) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(5) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(6) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety."|""
"D2. Liquid chillers or heaters such as ice builders, film, plate, scraped surface, tube-in-shell... for brine, glycol, water..."|"4"|"Ice builds up too thick on ice-builder plates."|"Prior incident anywhere"|"Nuisance on-site"|"2% to 5% per year (every 20 to 50 years or so)"|"02. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Control valve allows too much flow or remains fully open -- but not including shocks from expansion valves too far open.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Inspection, testing, or maintenance (ITM) shortcoming or error."|"(1) Hinders maintenance or increases the need for repairs.
(2) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(3) Hinders safety, security, health, or environmental protection.
(4) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(5) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(6) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(7) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(8) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(9) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(10) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(11) Leak of ammonia into water or other liquids that may cause odors or flow into floor drains or similar.
(12) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Cleaning on or near the ammonia-refrigeration system is adequately safe, including clean-in-place.
(4) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(5) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(6) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(7) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(8) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(9) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(10) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(11) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(12) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(13) Piping systems that ammonia refrigerant could leak into have adequate means to relieve any resulting overpressure.
(14) Production monitoring and quality control.
(15) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(16) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(17) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(18) Separation of ammonia refrigeration from people is adequate and considered in change management.
(19) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"D2. Liquid chillers or heaters such as ice builders, film, plate, scraped surface, tube-in-shell... for brine, glycol, water..."|"5"|"More ammonia refrigerant evaporates than suction piping can remove."|"Prior incident anywhere"|"Nuisance on-site"|"2% to 5% per year (every 20 to 50 years or so)"|"02. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Control valve allows too little or no flow, including expansion, gas-powered, motorized, and solenoid valves and regulators.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Filter or strainer clogged.
(4) Loads added without properly evaluating.
(5) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth."|"(1) Hinders operations. [UPDATE - SYSTEM SPECIFIC]"|"(1) Change management is adequate.
(2) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(3) Production monitoring and quality control.
(4) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(5) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(6) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety."|""
"D2. Liquid chillers or heaters such as ice builders, film, plate, scraped surface, tube-in-shell... for brine, glycol, water..."|"6"|"Oil buildup, scale, or biofilm growth on the heat-exchanger surfaces exposed to the liquid being chilled or heated."|"Prior incident anywhere"|"Nuisance on-site"|"2% to 5% per year (every 20 to 50 years or so)"|"02. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Inspection, testing, or maintenance (ITM) shortcoming or error.
(3) Wrong substance or concentration added or used."|"(1) Hinders maintenance or increases the need for repairs.
(2) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(3) Hinders safety, security, health, or environmental protection."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Change management is adequate.
(3) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(4) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(5) Production monitoring and quality control.
(6) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(7) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(8) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"D2. Liquid chillers or heaters such as ice builders, film, plate, scraped surface, tube-in-shell... for brine, glycol, water..."|"7"|"Plates, tubes, or their joints leak ammonia into air or the chilled or heated liquid and so possibly the air near the liquid."|"Prior incident anywhere"|"Room evacuation or off-site nuisance"|"2% to 5% per year (every 20 to 50 years or so)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Joint, bolted, problem."|"(1) Explosion or fire more likely.
(2) Hinders maintenance or increases the need for repairs.
(3) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(4) Hinders safety, security, health, or environmental protection.
(5) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(6) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(7) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(8) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(9) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(10) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(11) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(12) Leak of ammonia into water or other liquids that may cause odors or flow into floor drains or similar.
(13) Leak of ammonia that will probably cause strong odors or worse offsite.
(14) Water contamination in the ammonia refrigerant becomes too high."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(5) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(6) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(7) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(8) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(9) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Metal-fatigue prevention is adequate to avoid all but small leaks.
(12) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(13) Production monitoring and quality control.
(14) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(15) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(16) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(17) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(18) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(19) Separation of ammonia refrigeration from people is adequate and considered in change management.
(20) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"D2. Liquid chillers or heaters such as ice builders, film, plate, scraped surface, tube-in-shell... for brine, glycol, water..."|"8"|"Tubes, tube sheets, or shells contract and expand differently when temperatures change -- different materials, thicknesses, etc."|"Prior incident anywhere"|"Room evacuation or off-site nuisance"|"2% to 5% per year (every 20 to 50 years or so)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Normal activity that is reasonably safe with proper precautions.
(3) Temperature or humidity changes within or moderately outside of typically expected ranges."|"(1) Equipment or piping becomes more susceptible to external physical damage.
(2) Explosion or fire more likely.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Hinders safety, security, health, or environmental protection.
(6) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(7) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(8) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(9) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(10) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(11) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(12) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(13) Leak of ammonia into water or other liquids that may cause odors or flow into floor drains or similar.
(14) Leak of ammonia that will probably cause strong odors or worse offsite.
(15) Water contamination in the ammonia refrigerant becomes too high."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(5) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(6) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(7) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(8) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(9) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Metal-fatigue prevention is adequate to avoid all but small leaks.
(12) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(13) Piping systems that ammonia refrigerant could leak into have adequate means to relieve any resulting overpressure.
(14) Production monitoring and quality control.
(15) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(16) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(17) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(18) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(19) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(20) Separation of ammonia refrigeration from people is adequate and considered in change management.
(21) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"D3. Silos and tanks with ammonia-cooled jackets that don't contact the cooled liquid"|"1"|"Ammonia refrigeration left on when silo or tank is cleaned-in-place (CIP)."|"Prior incident anywhere"|"Room evacuation or off-site nuisance"|"2% to 5% per year (every 20 to 50 years or so)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Human error or poor judgment."|"(1) Hinders maintenance or increases the need for repairs.
(2) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(3) Hinders safety, security, health, or environmental protection.
(4) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(5) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(6) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(7) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(8) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(9) Leak of ammonia that will probably cause strong odors or worse offsite.
(10) Overpressure in equipment or piping.
(11) Shocks that could damage equipment, piping, or supports."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Cleaning on or near the ammonia-refrigeration system is adequately safe, including clean-in-place.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(7) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(8) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(9) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(10) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(11) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(12) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(13) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(14) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(15) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(16) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(17) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(18) Separation of ammonia refrigeration from people is adequate and considered in change management."|""
